Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2019,23,106436,106436,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),Oak & Vine Bar,"Unit 1, Ground , 60 Market Street MELBOURNE 3000",370,144.960818721878,-37.81777731425,"-37.817777314249994, 144.9608187218783",Commercial,Commercial
2019,27,541562,102071,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),RU-CO,"Part UprGround , 121-131 Collins Street MELBOURNE 3000",400,144.969807966455,-37.81511565165,"-37.81511565165, 144.96980796645528",Commercial,Commercial
2019,27,597183,102071,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),Spice Market,"Part LwrGround , 121-131 Collins Street MELBOURNE 3000",800,144.969807966455,-37.81511565165,"-37.81511565165, 144.96980796645528",Commercial,Commercial
2019,33,108064,108064,85-91 Queen Street MELBOURNE 3000,Melbourne (CBD),The Black Rabbit,"Basement , 85 Queen Street MELBOURNE 3000",230,144.961021932825,-37.8164972607,"-37.8164972607, 144.96102193282508",Commercial,Commercial
2019,33,108065,108065,93-95 Queen Street MELBOURNE 3000,Melbourne (CBD),GG EZ Bar,"Basement , 95 Queen Street MELBOURNE 3000",167,144.960974424703,-37.8163780027,"-37.8163780027, 144.96097442470295",Commercial,Commercial
2019,33,108067,108067,103-105 Queen Street MELBOURNE 3000,Melbourne (CBD),Chaise Lounge,"Basement , 105 Queen Street MELBOURNE 3000",140,144.960811864621,-37.8161548995,"-37.816154899500006, 144.96081186462072",Commercial,Commercial
2019,33,110148,110148,98-110 William Street MELBOURNE 3000,Melbourne (CBD),The Australian Club,98-110 William Street MELBOURNE 3000,280,144.959122884639,-37.81674635455,"-37.816746354550006, 144.95912288463865",Commercial,Commercial
2019,35,102141,102141,280-292 Collins Street MELBOURNE 3000,Melbourne (CBD),The Charles Dickens Tavern,"Part Basement , 290 Collins Street MELBOURNE 3000",450,144.964340753954,-37.81552770375,"-37.81552770375, 144.96434075395388",Commercial,Commercial
2019,35,105919,105919,267 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Polepole Bar,267 Little Collins Street MELBOURNE 3000,100,144.9656017104,-37.814831977068096,"-37.814831977068074, 144.9656017104",Commercial,Commercial
2019,35,558610,558610,256 Collins Street MELBOURNE 3000,Melbourne (CBD),The Butterfly Club,"Level 1, 256 Collins Street MELBOURNE 3000",190,144.96529077485,-37.8155237276144,"-37.815523727614426, 144.96529077485002",Commercial,Commercial
