bioblitz-2016 (1)
Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Identification Notes,Data Resource Name,Sighting Date,Latitude,Longitude,Location,geopoint
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,castanea,Chestnut Teal,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,castanea,Chestnut Teal,,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,Common Blackbird,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,Common Blackbird,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,Common Blackbird,,Handwritten,2016-03-05,-37.798,144.961,,"-37.798, 144.961"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,tristis,"Common Myna, Indian Myna",Also known as Acridotheres tristis,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,tristis,"Common Myna, Indian Myna",Also known as Acridotheres tristis,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Fungi,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,PSATHYRELLACEAE,,,,Gilled Mushroom,Bowerbird,2016-03-04,-37.8018,144.9704,,"-37.8018, 144.9704"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ocyphaps,lophotes,Crested Pigeon,,Handwritten,2016-03-05,-37.798,144.961,,"-37.798, 144.961"
Bird,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Thalasseus,bergii,Crested Tern,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Platycercus,elegans,Crimson Rosella,,Participate Melbourne,2016-03-05,-37.8204,145.2496,,"-37.8204, 145.2496"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,tenebrosa,Dusky Moorhen,,Bowerbird,2016-03-08,-37.7873,144.9161,,"-37.7873, 144.9161"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,tenebrosa,Dusky Moorhen,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,tenebrosa,Dusky Moorhen,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,modesta,Eastern Great Egret,,Bowerbird,2016-03-12,-37.8135,144.9348,,"-37.8135, 144.9348"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,modesta,Eastern Great Egret,,Bowerbird,2016-03-13,-37.7822,144.9454,,"-37.7822, 144.9454"
Bird,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Platycercus,eximius,Eastern Rosella,,Handwritten,2016-03-04,-37.798,144.961,,"-37.798, 144.961"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,atra,"Eurasian Coot, Coot",,Bowerbird,2016-03-15,-37.7825,144.9431,,"-37.7825, 144.9431"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,atra,"Eurasian Coot, Coot",,Bowerbird,2016-03-04,-37.7826,144.9435,,"-37.7826, 144.9435"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERIDAE,Passer,montanus,Eurasian Tree Sparrow,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,,,,Duck,Bowerbird,2016-03-30,-37.814,144.9763,,"-37.814, 144.9763"
Bird,ANIMALIA,CHORDATA,AVES,NEORNITHES,SULIFORMES,Phalacrocorax,carbo,Great Cormorant,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,torquatus,Grey Butcherbird,,Participate Melbourne,2016-03-05,-37.8207,145.2491,,"-37.8207, 145.2491"
Cnidaria,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,,,,Sea Anemone,Bowerbird,2016-02-23,-37.8298,144.9002,,"-37.8298, 144.9002"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,torquatus,Grey Butcherbird,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,torquatus,Grey Butcherbird,,Handwritten,2016-03-05,-37.798,144.961,,"-37.798, 144.961"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,torquatus,Grey Butcherbird,,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE,Rhipidura,albiscapa,Grey Fantail,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PACHYCEPHALIDAE,Colluricincla,harmonica,Grey Shrike-thrush,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,australis,"Hardhead, White-eyed Duck",,Handwritten,2016-04-15,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PODICIPEDIFORMES,PODICIPEDIDAE,Poliocephalus,poliocephalus,"Hoary-headed Grebe, Dabchick",,Bowerbird,2016-03-15,-37.7828,144.9407,,"-37.7828, 144.9407"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porphyrio,porphyrio,Purple Swamphen,,Bowerbird,2016-03-04,-37.8292,144.9798,,"-37.8292, 144.9798"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERIDAE,Passer,domesticus,House Sparrow,,Participate Melbourne,2016-03-07,-37.7824,144.9433,,"-37.7824, 144.9433"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERIDAE,Passer,domesticus,House Sparrow,,Bowerbird,2016-02-05,-37.7987,144.9606,,"-37.7987, 144.9606"
